score,gt_classification,fen,classic_reg_score,classic_reg_classification,classic_score,classic_classification,gemini_direct_score,gemini_direct_classification,gemini_feature_material,gemini_feature_pawn_structure,gemini_feature_mobility,gemini_feature_king_safety,gemini_feature_tempo,gemini_feature_total
-4.92,black,1r2k2r/3bn1p1/4pq2/p1pp3p/P4P2/1P1B2P1/2PQ3P/1K1RR3 w k - 0 24,-2.3274,black,-3.9,black,75.0,white,1.5,0.25,0.5,-0.25,0.25,1.25
2.76,white,r5k1/1ppq1ppp/3br3/p5PP/1n6/3PBN2/PPPQ1P2/1K1R3R w - - 1 18,0.729,equal,0.0,equal,30.0,white,0.3,-0.1,0.4,0.0,0.2,0.8
0.43,equal,rnbqkbnr/5ppp/p1pp4/1p1Bp3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 6,0.0216,equal,0.6000000000000001,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
1.42,equal,2r3k1/1p3ppp/1q2bn2/p1Pp1n2/P3p3/1P2P1PP/4NPB1/R2QK2R b KQ - 0 23,1.512,equal,1.5,equal,25.0,white,0.5,-0.2,-0.3,-0.1,-0.2,-0.3
25.96,white,rn3bnr/pp1k2pp/3N4/3B1bBq/8/5N2/PPP1QPPP/R3K2R w KQ - 3 15,1.6416,equal,5.1,white,75.0,white,0.5,-0.2,1.0,0.75,0.5,1.55
8.25,white,r1br2k1/pp3q1p/5p1Q/4N3/3PB3/1P6/P5PP/6K1 w - - 0 24,-4.5504,black,-4.9,black,250.0,white,1.75,0.25,0.5,-0.25,0.25,2.5
-2.25,black,rnbqkb1r/1p4pp/2p2n2/p2p1p2/1P1PpP1P/P1P1P1P1/8/RNBQKBNR w KQkq - 0 9,0.0072,equal,0.2,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
-0.21,equal,r1bq1rk1/pp2ppbp/2Np1np1/8/4P3/2N1B3/PPP1BPPP/R2Q1RK1 b - - 0 9,2.3634,white,4.9,white,-25.0,black,0.25,-0.25,-0.25,0.0,0.0,-0.25
10.8,white,4rrk1/ppp1n1pp/8/3PRn2/3p4/P2P2P1/1PQB1P1P/R5K1 w - - 1 19,5.416200000000001,white,8.7,white,150.0,white,1.5,0.2,0.5,0.1,0.3,2.6
0.61,equal,rnbqk1nr/pppp1ppp/8/3Pp3/1b2P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,-0.0972,equal,-2.7,black,25.0,white,0.0,0.1,0.2,0.0,0.1,0.4
